指をけがしました。I (   ) my (   ).,hurt / finger
"あなたを保健の先生のところにつれていきましょう。
I (   ) (   ) you to the nurse.
ご親切にありがとうございます。
(   ) (   ) (   ) (   ).","will / take 
That's / kind / of / you"
"I have a headache.
ー(   ) (   ) (   ).  ( 「それはいけませんね」という意味で）",That's  / too / bad.
"どうかしましたか。(   ) wrong?
ー脚をけがしました。I (   ) my (   ).",What's / hurt / leg
What's wrong?,どうかしましたか。
"どうかなさいましたか。(   ) the (   ) ?
私は気分がよくありません。I don't (   ) well.","What's / matter
feel"
"彼はそのとき5年生でした。
He was in the ( 1 five  2 fifth  3 five times ) grade then.",2 fifth
"彼女は走り続けました。
She continued ( 1 runs  2 ran  3 to run ).",3 to run
それはいけませんね。That's ( 1 too  2 little  3 much ) bad.,1 too
"私はこれらの子どもたちの世話をしなければなりません。
I must (   ) (   ) these children,",care / for 
"日本はアジアの一部です。
Japan is a (   ) (   ) Asia.",part / of
"ホワイト先生のことばは私の胸を打ちました。
Mr White's words (   ) me.",touched
ご親切にありがとう。（4語で）,It's kind of you.
"私があなたの年のときはよく映画に行ったものです。
I used to go to movies (   ) I was your (   ).",when / age
"N: Hi Emma. ( 1 That's too bad.  2 Keep warm and stay in bed.  3 What's wrong? )
E: I don't feel well. I have a sore throat.
N: ( 1 That's too bad.  2 Keep warm and stay in bed.  3 What's wrong? ) Open your mouth.
E: Ahh...
N: I think you have a cold. ( 1 That's too bad.  2 Keep warm and stay in bed.  3 What's wrong? )
E: I will. Thank you.",3 / 1 / 2
"どうかしましたか。(   ) wrong? 
腹痛がします。- I have a (   ).",What's / stomachache
"どうかしましたか。What's (   )? 
鼻血が出てます。- I have a (   ).",wrong / nosebleed
"どうかしましたか。(   ) (   )? 
熱があります。- I have a (   ).",What's / wrong / fever
"どうかしましたか。(   ) (   )? 
風邪です。- I have a (   ).",What's / wrong / cold
"He must be your ( 1 old  2 year  3 age ), right?",3
"She bought shoes, shirts and ( 1 so on  2 for example  3 in addition ).",1
"その店は野菜や果物などを売っています。
The store sells vegetables, fruit and (   ) (   ).",so / on
"私は長い間みどり市に住んでいます。
I've lived in Midori City (   ) a (   ) (   ).",for / long / time
"駅の近くの店では果物や野菜などを売っています。
The shop near the station sells fruits, vegetables and (   ) (   ).",so / on
Amy has helped her grandmother since last summer. （疑問文にしてNoで答える）,"Has Amy helped her grandmother since last summer?
No, she hasn't."
"この家はどれくらいの間、空き家になっていますか。ーこの前の4月からです。
(   ) (   ) has this house (   ) empty?　- (   ) (   ) April.",How / long / been / Since / last
They have cleaned the woods for seven years. （疑問文にしてYesで答える）,"Have they cleaned the woods for seven years?
Yes, they have."
"父と母は小さい頃からお互いに知っています。
My father and mother ( each / since / they / other / known / little / have / were ).",My father and mother have known each other since they were little.
"その時以来ロボットのそのかわいい動きが患者たちを魅了しています。
The cute movements ( fascinated / of the robot / since / the patients / have ) then.",The cute movements of the robots have fascinated the patients then.
( 1 It's  2 That's  3 They've ) been very hot for a week.,1
We ( didn't see ) a blue sky for a week.  ( (   )内を正しい英語にして）,We haven't seen a blue sky for a week.
"彼女は世界で最も素晴らしいサッカー選手の一人です。
She is (   ) the (   ) soccer players in the world.",among / best
"妹と私はこの冬ずっと編み物を楽しんでいます。
( knitting / my sister  and I / enjoyed / have ) this winter.",My sister and I have enjoyed knitting this winter.
"健は昨年以来ずっと新しい自転車をほしがっています。
( a new bike / wanted / since / Ken / last year / has ).",Ken has wanted a new bike since last year.
"これは何年もの間、最も人気があるゲームです。
This ( been / for / has / years / popular game / many / the most ).",This has been the most popular game for many years.
"私はピアノを弾いて10年になります。
I (   ) (   ) the piano for ten years.",have / played
"ポールは約2年間ずっと日本語を勉強しています。
Paul (   ) (   ) Japanese (   ) about two years.",has / studied / for
"健は5年間その犬を飼っています。
( for / the dog / had / Ken / has / five years ).",Ken has had the dog for five years.
"メイリンは長い間新しいグローブをほしがっています。
Meiling (   ) (   ) a new glove for a long time.",has / wanted
"私は2年間ずっとサッカーをやっています。
I (   ) (   ) soccer (   ) two years.",have / played / for
"私はギターを練習して6か月になります。
I have practiced the guitar (   ) six months.",for
"I have stayed here for two yeras.
私はここに（　）います。",私はここに2年間ずっと滞在しています。
"美紀は長い間、英語を勉強しています。
Miki ( 1 studies  2 has studied ) English for a long time.",2 has studied
"久美は2年間ずっと剣道をやっています。
Kumi (   ) (   ) kendo for two years.",has / practiced
He has sung the song for thirty years.,彼がこの歌を30年間ずっと歌っている。
We have studied the animal for three months.,私たちはその動物を3か月間ずっと研究している。
"直美は数年間、ずっと髪を長くしています。
( had / has / long hair / several years / Naomi / for ).",Naomi has had long hair for several years.
I have studied Japanese for two years.,私は2年間ずっと日本語を勉強しています。
"私は長い間ずっとロンドンを訪れたいと思っています。
I (   ) (   ) to visit London for a long time.",have / wanted 
"あなたはどれくらい長くこの学校で働いているのですか。
( in / you / long / worked / school / have / how / this ) ?",How long have you worked in this school?
"何年もの間、フランスの芸術は彼に影響を与えています。
French art has (   ) him (   ) many years.",influenced / for
"私のおじはオーストラリアに10年間住んでいる。
My uncle (   ) (   ) in Australia (   ) ten years.",has / lived / for
"彼女は6年間ずっとそのかばんを使っています。
She (   ) (   ) the bag (   ) six years.",has / used / for 
"あなたは約５年間ずっと自然について考えているのですか。
( five / about / about / you / nature / have / thought / for ) years?",Have you thought about nature for about five years?
"祖父はこのペンを30年以上使い続けています。
( over / for / has / thirty years / this pen / my grandfather / used ).",My grandfather has used this pen for over thirty years.
"私の母は7年間バレーボールをやっている。
My mother (   ) (   ) volleyball (   ) seven years.",has / played / for
We have known each other for a long time.,私たちは長いことお互いを知っている。
Many people have enjoyed watching this TV program for many years.,多くの人々が何年間もそのテレビ番組を見るのを楽しみにしています。
"彼女は約5年間ずっと美紀といっしょに住んでいます。
She (   ) lived with Miki (   ) (   ) five years.",has / for / about
I have had this dog for three years.,私はこの犬を飼って3年になる。
"私は1週間ずっとオーストラリアに滞在しています。
I ( have / a / Australia / week / staying / stayed / in / for ). （1語不要）",I have stayed in Australia for a week.
Have you stayed in India for a week?,あなたはインドに1週間ずっと滞在していますか。
"私は先週からずっと忙しいです。
I (   ) (   ) busy since last week.",have / been
"私は長い間ずっと山の中に住んでいます。
I've (   ) in the mountain (   ) a (   ) time.",lived / for / long
"彼女は何年間もずっと動物について研究していますか。
(   ) (   ) studied about animals (   ) many years?",Has / she / for
"美紀は去年からずっとギターを弾いています。
Miki ( 1 have / 2 has ) played the guitar since last year.",2 has
"エマは2015年からずっとこの自転車を使っています。
Emma (   ) (  ) this bike (   ) 2015.",has / used / since
"エイミーは子どものときからトムを知っています。
( she / since / known / Amy / Tom / has / was ) a child.",Amy has known Tom since she was a child.
"エマは10歳の時からずっとフルートを吹いている。
Emma (   ) (   ) the flute (   ) (   ) (   ) ten.",has / played / since / she / was
"私は2015年からここで働いています。
( since / worked / 2015 / I've / here ).",I've worked here since 2015.
